instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
504,19-05-2019,2,1,5,0,0,0,1,24.6,28.3454,45.625,5.626325,3410,4884,8294
680,11-11-2019,4,1,11,0,1,1,1,17.254153,21.08565,65.9167,8.5425,2290,4562,6852
241,29-08-2018,3,0,8,0,3,1,1,26.103347,30.3979,55.4583,10.708275,729,3905,4634
22,22-01-2018,1,0,1,0,1,1,1,2.4243464,3.95348,40.0,11.52199,93,888,981
57,26-02-2018,1,0,2,0,1,1,1,11.5825,14.1096,53.7917,12.500257,424,1545,1969
482,27-04-2019,2,1,4,0,6,0,1,18.7575,22.63185,40.0833,23.291411,1014,5219,6233
119,29-04-2018,2,0,4,0,0,0,1,20.91,24.87315,45.7083,16.084221,878,3717,4595
483,28-04-2019,2,1,4,0,0,0,2,15.443347,18.8752,48.9583,8.708325,1120,3100,4220
495,10-05-2019,2,1,5,0,5,1,1,20.739153,24.58915,55.2083,21.042221,1026,5546,6572
98,08-04-2018,2,0,4,0,0,0,2,13.769153,16.22395,83.625,15.208464,172,1299,1471
398,02-02-2019,1,1,2,0,6,0,2,16.365847,19.94855,67.2917,12.541529,190,3571,3761
448,24-03-2019,2,1,3,0,0,0,2,20.6025,24.33665,88.5417,12.916461,1033,2339,3372
184,03-07-2018,3,0,7,0,2,1,2,29.383347,33.42875,68.25,15.333486,2282,2367,4649
677,08-11-2019,4,1,11,0,5,1,1,14.439134,17.09455,33.3478,23.304945,340,4975,5315
156,05-06-2018,2,0,6,0,2,1,2,26.581653,30.8402,65.25,9.292364,1685,3221,4906
128,08-05-2018,2,0,5,0,2,1,1,21.661653,25.94665,63.1667,5.0007125,1401,2932,4333
620,12-09-2019,3,1,9,0,4,1,1,24.565847,28.50375,57.7083,8.833682,1050,6820,7870
514,29-05-2019,2,1,5,0,3,1,1,29.6225,33.6496,68.4583,19.7918,880,4863,5743
426,02-03-2019,1,1,3,0,6,0,2,14.486653,17.9921,65.7083,9.708568,246,2948,3194
50,19-02-2018,1,0,2,0,1,1,1,16.365847,19.5702,18.7917,34.000021,532,1103,1635
527,11-06-2019,2,1,6,0,2,1,2,29.554153,32.98605,58.7917,13.916771,1017,5647,6664
693,24-11-2019,4,1,11,0,0,0,1,11.411653,12.4371,40.4583,25.250357,532,1745,2277
685,16-11-2019,4,1,11,0,6,0,1,14.145,17.3602,52.4583,11.458675,484,5214,5698
203,22-07-2018,3,0,7,0,0,0,1,34.781653,42.0448,58.0417,8.9177,562,2825,3387
21,21-01-2018,1,0,1,0,0,0,1,7.2775,7.89165,45.7083,23.667214,75,1468,1543
661,23-10-2019,4,1,10,0,3,1,1,22.310847,26.5152,64.1667,6.3345686,841,6625,7466
215,03-08-2018,3,0,8,0,5,1,2,29.998347,33.99685,65.75,9.084061,467,3107,3574
150,30-05-2018,2,0,5,1,3,0,1,30.066653,33.5546,68.5,8.792075,1549,2549,4098
393,28-01-2019,1,1,1,0,1,1,1,12.949153,16.31895,54.3333,14.125543,775,3248,4023
414,18-02-2019,1,1,2,0,1,1,1,14.213347,17.77125,53.4583,12.792243,1435,2883,4318
5,05-01-2018,1,0,1,0,5,1,1,9.305237,11.4635,43.6957,12.5223,82,1518,1600
722,23-12-2019,1,1,12,0,1,1,1,10.079153,12.97355,51.5417,8.916561,408,1379,1787
208,27-07-2018,3,0,7,0,5,1,1,31.775,34.53335,40.2917,12.292021,755,3901,4656
459,04-04-2019,2,1,4,0,4,1,1,22.208347,26.6725,46.9583,12.125325,1058,5378,6436
550,04-07-2019,3,1,7,1,4,0,1,32.355847,36.61685,53.875,9.04165,2562,4841,7403
660,22-10-2019,4,1,10,0,2,1,1,19.9875,24.1471,56.8333,5.4593811,830,6228,7058
138,18-05-2018,2,0,5,0,5,1,2,22.55,26.3579,87.0,13.499964,536,3319,3855
110,20-04-2018,2,0,4,0,5,1,1,24.395,28.2196,61.4167,16.208975,613,3331,3944
567,21-07-2019,3,1,7,0,0,0,3,24.429153,27.4956,86.5417,14.2911,1264,3195,4459
411,15-02-2019,1,1,2,0,5,1,1,14.281653,17.58145,53.125,12.1672,141,4028,4169
317,13-11-2018,4,0,11,0,2,1,1,18.074153,21.5275,45.8333,18.875307,1004,2713,3717
679,10-11-2019,4,1,11,0,0,0,1,15.955847,19.69685,64.5417,3.8756686,2090,4446,6536
326,22-11-2018,4,0,11,0,4,1,3,17.083347,21.0848,96.25,7.959064,69,1538,1607
592,15-08-2019,3,1,8,0,4,1,1,28.973347,32.70185,61.9583,11.374657,1198,6149,7347
610,02-09-2019,3,1,9,0,1,1,2,28.563347,32.45,81.5,4.2927436,2613,3197,5810
699,30-11-2019,4,1,11,0,6,0,1,12.231653,16.19335,64.9583,3.9175436,362,5306,5668
105,15-04-2018,2,0,4,1,0,0,1,18.313347,22.09565,67.125,15.167125,642,2484,3126
357,23-12-2018,1,0,12,0,0,0,1,15.306653,18.87565,68.625,18.374482,163,2046,2209
64,05-03-2018,1,0,3,0,1,1,2,15.750847,18.93895,78.9167,16.875357,640,1437,2077
62,03-03-2018,1,0,3,0,6,0,1,8.131653,10.00665,31.8333,15.125518,123,1562,1685
298,25-10-2018,4,0,10,0,4,1,1,19.338347,23.16875,62.2917,11.166086,695,3992,4687
710,11-12-2019,4,1,12,0,3,1,2,14.486653,16.91815,59.6667,19.834479,282,5219,5501
428,04-03-2019,1,1,3,0,1,1,1,13.359153,15.15105,40.3333,22.416257,710,2713,3423
603,26-08-2019,3,1,8,0,1,1,2,26.786653,29.7998,84.5833,15.333486,1483,3772,5255
84,25-03-2018,2,0,3,0,0,0,1,10.830847,12.8156,49.5,15.458575,300,1910,2210
125,05-05-2018,2,0,5,0,6,0,1,18.825847,22.09585,44.4167,19.791264,614,3819,4433
701,02-12-2019,4,1,12,0,1,1,2,14.2475,17.9604,82.3333,8.333393,892,3757,4649
582,05-08-2019,3,1,8,0,1,1,1,31.535847,36.55395,65.25,19.458207,1707,3757,5464
629,21-09-2019,3,1,9,0,6,0,1,24.565847,28.59855,66.875,10.333343,1250,6917,8167
478,23-04-2019,2,1,4,0,2,1,2,13.188347,15.05625,76.6667,20.334232,195,3019,3214
501,16-05-2019,2,1,5,0,4,1,1,26.103347,29.79875,69.7917,8.208304,991,6433,7424
275,02-10-2018,4,0,10,0,2,1,2,14.623347,17.26585,79.1667,14.874871,616,2302,2918
301,28-10-2018,4,0,10,0,0,0,2,13.564153,15.9406,58.5833,15.375093,456,3291,3747
434,10-03-2019,1,1,3,0,0,0,1,11.7875,13.88835,35.0417,15.12525,968,3150,4118
240,28-08-2018,3,0,8,0,2,1,1,28.989419,32.39795,56.1765,20.412153,1415,2919,4334
396,31-01-2019,1,1,1,0,4,1,1,15.99,19.06585,41.6667,17.541739,324,4185,4509
353,19-12-2018,4,0,12,0,3,1,1,11.343347,14.04665,63.75,11.584032,260,3143,3403
420,24-02-2019,1,1,2,0,0,0,2,16.7075,20.54855,73.75,15.916989,246,3241,3487
621,13-09-2019,3,1,9,0,5,1,1,25.1125,28.9779,63.7083,5.5422936,1054,6750,7804
166,15-06-2018,2,0,6,0,5,1,1,25.693347,29.3877,47.1667,11.250104,769,4411,5180
181,30-06-2018,3,0,6,0,6,0,1,28.563347,31.8504,43.4167,12.415904,1027,4488,5515
669,31-10-2019,4,1,10,0,4,1,2,14.6575,18.055,66.6667,11.166689,419,5147,5566
12,12-01-2018,1,0,1,0,5,1,1,7.081807,8.02365,59.9545,20.410009,25,1137,1162
116,26-04-2018,2,0,4,0,4,1,1,25.898347,29.70415,72.9167,21.8755,678,3722,4400
563,17-07-2019,3,1,7,0,3,1,1,33.551653,37.78415,50.5833,7.666743,921,5865,6786
524,08-06-2019,2,1,6,0,6,0,1,26.615847,29.8931,46.7917,11.750661,1488,6248,7736
525,09-06-2019,2,1,6,0,0,0,1,29.144153,32.41835,43.7083,9.667229,2708,4790,7498
269,26-09-2018,4,0,9,0,3,1,2,26.615847,29.4521,84.8333,7.4169,684,3946,4630
500,15-05-2019,2,1,5,0,3,1,2,25.078347,28.8202,79.4583,9.875264,625,4490,5115
199,18-07-2018,3,0,7,0,3,1,1,30.613347,35.19625,65.125,14.458868,841,3617,4458
585,08-08-2019,3,1,8,0,4,1,2,30.75,35.38585,67.2917,7.4169,1263,6271,7534
410,14-02-2019,1,1,2,0,4,1,2,13.085847,16.6973,50.875,9.458993,135,3787,3922
662,24-10-2019,4,1,10,0,4,1,1,24.0875,27.93605,63.625,4.8762064,795,6898,7693
58,27-02-2018,1,0,2,0,2,1,1,14.082598,17.55545,68.0,8.391616,694,1708,2402
219,07-08-2018,3,0,8,0,2,1,1,30.4425,35.7646,75.2917,13.499629,1298,2487,3785
418,22-02-2019,1,1,2,0,5,1,1,16.229153,19.63335,56.7917,15.709557,394,4379,4773
553,07-07-2019,3,1,7,0,0,0,1,35.328347,40.24565,49.2083,10.958118,1448,3392,4840
664,26-10-2019,4,1,10,0,6,0,2,22.379153,26.1375,80.7083,8.875289,1182,6262,7444
549,03-07-2019,3,1,7,0,3,1,1,32.014153,35.1325,49.2083,8.457879,1052,5608,6660
331,27-11-2018,4,0,11,0,2,1,1,18.825847,22.79,69.8333,13.999918,810,2261,3071
521,05-06-2019,2,1,6,0,3,1,2,22.174153,26.2946,61.3333,14.041525,968,6033,7001
55,24-02-2018,1,0,2,0,6,0,2,12.121732,14.45955,69.7391,16.783232,100,1707,1807
464,09-04-2019,2,1,4,0,2,1,1,20.055847,23.8319,31.75,23.999132,905,4680,5585
185,04-07-2018,3,0,7,1,3,0,2,29.793347,33.27085,63.7917,5.4591064,3065,2978,6043
321,17-11-2018,4,0,11,0,6,0,2,14.008347,16.16105,57.5833,20.459254,139,2914,3053
71,12-03-2018,1,0,3,0,1,1,1,13.495847,16.2875,59.4583,14.791925,724,1408,2132
522,06-06-2019,2,1,6,0,4,1,1,22.720847,27.1146,61.125,5.167375,1027,6028,7055
379,14-01-2019,1,1,1,0,1,1,1,7.38,9.15435,45.75,12.541261,333,2160,2493
727,28-12-2019,1,1,12,0,6,0,2,10.386653,12.7523,59.0,10.416557,644,2451,3095
354,20-12-2018,4,0,12,0,4,1,2,15.819153,19.8227,59.5417,4.1252436,216,3534,3750
520,04-06-2019,2,1,6,0,2,1,1,24.4975,28.91415,48.7083,19.083811,1071,5927,6998
67,08-03-2018,1,0,3,0,4,1,1,11.9925,15.12,42.0833,8.08355,316,1817,2133
74,15-03-2018,1,0,3,0,4,1,2,13.013031,15.9089,65.5652,12.348703,289,1767,2056
124,04-05-2018,2,0,5,0,5,1,2,16.980847,20.2325,73.7083,22.042732,255,2378,2633
718,19-12-2019,4,1,12,0,4,1,1,13.6325,17.1081,62.5417,12.334164,333,4934,5267
725,26-12-2019,1,1,12,0,4,1,3,9.976653,11.01665,82.3333,21.208582,9,432,441
260,17-09-2018,3,0,9,0,1,1,2,20.158347,23.9256,71.8333,12.708225,1434,3077,4511
345,11-12-2018,4,0,12,0,2,1,1,9.054153,12.6577,49.0,4.4582939,377,2366,2743
310,06-11-2018,4,0,11,0,2,1,1,14.281653,18.1179,73.4583,6.1676314,952,2697,3649
375,10-01-2019,1,1,1,0,4,1,1,12.656536,15.9413,64.6522,12.565984,173,3425,3598
408,12-02-2019,1,1,2,0,2,1,1,5.2275,5.0829,46.4583,27.417204,73,1456,1529
255,12-09-2018,3,0,9,0,3,1,1,26.418268,30.1065,69.2174,5.957171,690,4023,4713
373,08-01-2019,1,1,1,0,2,1,1,13.8375,17.0129,46.5,12.833314,599,2826,3425
54,23-02-2018,1,0,2,0,5,1,1,9.091299,12.28585,42.3043,6.305571,139,1778,1917
706,07-12-2019,4,1,12,0,6,0,2,13.154153,16.0979,76.4167,8.7502,349,4659,5008
231,19-08-2018,3,0,8,0,0,0,2,28.085,31.66105,72.2917,9.333636,797,3356,4153
316,12-11-2018,4,0,11,0,1,1,1,14.623347,17.8971,55.2917,14.208154,1275,2792,4067
147,27-05-2018,2,0,5,0,0,0,1,27.948347,31.8504,65.375,16.125493,871,3808,4679
666,28-10-2019,4,1,10,0,1,1,2,19.5775,23.38855,69.4583,26.666536,998,3461,4459
628,20-09-2019,3,1,9,0,5,1,1,22.413347,26.6096,61.8333,7.917189,939,6781,7720
438,14-03-2019,1,1,3,0,4,1,1,23.4725,27.43085,50.7083,7.709154,997,5315,6312
87,28-03-2018,2,0,3,0,3,1,1,10.838268,12.8787,30.2174,14.217668,222,1806,2028
220,08-08-2018,3,0,8,0,3,1,1,31.365,35.16415,59.2083,12.875725,846,3480,4326
570,24-07-2019,3,1,7,0,3,1,1,30.784153,35.3225,65.5,14.167418,1140,6452,7592
45,14-02-2018,1,0,2,0,3,1,1,17.015,19.9175,37.5833,27.999836,208,1705,1913
175,24-06-2018,3,0,6,0,0,0,1,29.690847,32.82915,57.3333,14.875675,969,4022,4991
515,30-05-2019,2,1,5,0,4,1,2,26.923347,30.55645,67.0,9.000043,745,6110,6855
503,18-05-2019,2,1,5,0,6,0,1,23.130847,27.55605,52.3333,9.166739,1521,6118,7639
140,20-05-2018,2,0,5,0,0,0,1,22.003347,26.4521,71.9583,8.375871,909,4008,4917
163,12-06-2018,2,0,6,0,2,1,1,28.3925,32.16625,74.7917,10.958989,1467,2993,4460
359,25-12-2018,1,0,12,0,2,1,1,11.266103,13.99805,68.1304,10.391097,303,451,754
399,03-02-2019,1,1,2,0,0,0,1,12.846653,15.4673,52.6667,11.959232,310,3841,4151
557,11-07-2019,3,1,7,0,4,1,1,29.383347,32.51355,63.3333,10.166111,975,6289,7264
377,12-01-2019,1,1,1,0,6,0,2,15.6825,19.0969,80.2917,12.124789,269,3828,4097
281,08-10-2018,4,0,10,0,1,1,1,21.388347,25.6621,70.125,3.0420814,2235,3174,5409
204,23-07-2018,3,0,7,0,1,1,1,34.815847,40.21435,50.0,8.791807,987,2298,3285
10,10-01-2018,1,0,1,0,3,1,1,6.184153,7.5444,48.2917,14.958889,41,1280,1321
350,16-12-2018,4,0,12,0,0,0,2,15.375,17.99125,50.0417,17.458525,178,3399,3577
352,18-12-2018,4,0,12,0,2,1,1,9.771653,12.27895,58.625,11.375193,220,2211,2431
263,20-09-2018,3,0,9,0,4,1,2,23.028347,26.61085,88.125,9.041918,438,3203,3641
271,28-09-2018,4,0,9,0,5,1,2,26.035,28.7579,84.875,9.958143,480,3427,3907
445,21-03-2019,2,1,3,0,4,1,2,21.798347,25.6629,82.125,6.0004061,1122,5108,6230
164,13-06-2018,2,0,6,0,3,1,1,26.035,30.0827,49.4583,20.45845,863,4157,5020
286,13-10-2018,4,0,10,0,6,0,2,24.155847,27.5902,89.6667,9.499729,290,2623,2913
518,02-06-2019,2,1,6,0,0,0,1,23.916653,28.3144,54.9167,12.499654,2795,5325,8120
600,23-08-2019,3,1,8,0,5,1,1,28.529153,31.8504,63.5833,5.6679186,1363,6402,7765
446,22-03-2019,2,1,3,0,5,1,1,22.720847,26.57835,83.125,7.876654,1334,5537,6871
561,15-07-2019,3,1,7,0,1,1,1,30.579153,35.2598,71.7917,11.166689,1920,4111,6031
100,10-04-2018,2,0,4,0,2,1,2,17.493347,21.33685,85.75,9.833389,1188,1707,2895
726,27-12-2019,1,1,12,0,5,1,2,10.420847,11.3321,65.2917,23.458911,247,1867,2114
292,19-10-2018,4,0,10,0,5,1,3,22.211299,25.6924,89.5217,16.303713,254,2170,2424
390,25-01-2019,1,1,1,0,5,1,1,12.060847,14.74105,64.375,10.791757,467,3803,4270
690,21-11-2019,4,1,11,0,4,1,1,14.486653,18.2446,61.375,6.917482,615,4531,5146
318,14-11-2018,4,0,11,0,3,1,1,21.73,26.2306,58.7083,20.541932,595,3891,4486
72,13-03-2018,1,0,3,0,2,1,1,15.758268,19.00455,52.7391,18.130468,982,1435,2417
167,16-06-2018,2,0,6,0,6,0,2,25.761653,29.7673,68.8333,13.833557,545,3222,3767
162,11-06-2018,2,0,6,0,1,1,1,29.725,33.9019,65.4583,10.37495,1729,3237,4966
131,11-05-2018,2,0,5,0,5,1,1,22.2425,26.42,63.2917,8.083014,550,3632,4182
137,17-05-2018,2,0,5,0,4,1,2,23.028347,26.92645,83.7917,18.582718,678,3445,4123
17,17-01-2018,1,0,1,1,3,0,2,7.209153,8.83855,53.75,12.999139,117,883,1000
114,24-04-2018,2,0,4,0,2,1,2,23.848347,27.58815,81.0833,12.875725,1710,2481,4191
8,08-01-2018,1,0,1,0,1,1,2,6.765,8.1127,53.5833,17.875868,68,891,959
196,15-07-2018,3,0,7,0,0,0,1,27.196653,31.21855,59.125,12.249811,1318,4220,5538
543,27-06-2019,3,1,6,0,4,1,1,28.5975,32.0396,36.0,18.208925,1077,6258,7335
174,23-06-2018,3,0,6,0,6,0,2,29.861653,34.69165,70.3333,15.999868,746,4044,4790
295,22-10-2018,4,0,10,0,1,1,1,17.3225,21.2746,62.9167,6.2086689,1499,2809,4308
627,19-09-2019,3,1,9,0,4,1,1,22.6525,27.0202,53.6667,14.416725,788,6803,7591
573,27-07-2019,3,1,7,0,6,0,1,32.048347,36.71085,59.4583,10.250464,1259,5645,6904
68,09-03-2018,1,0,3,0,5,1,2,12.129153,14.3304,77.5417,14.75005,191,1700,1891
205,24-07-2018,3,0,7,0,2,1,1,34.03,39.74145,55.0833,11.334457,1050,2556,3606
397,01-02-2019,1,1,2,0,5,1,1,19.235847,23.3269,50.7917,12.667489,304,4275,4579
383,18-01-2019,1,1,1,0,5,1,1,12.436653,13.7627,44.3333,27.833743,109,3267,3376
361,27-12-2018,1,0,12,0,4,1,2,13.325,16.38165,76.25,12.62615,103,1059,1162
195,14-07-2018,3,0,7,0,6,0,1,27.914153,31.7552,47.625,16.124689,888,4196,5084
305,01-11-2018,4,0,11,0,4,1,1,16.434153,19.8544,68.375,9.083257,410,3658,4068
517,01-06-2019,2,1,6,0,6,0,2,26.820847,30.3981,75.5417,15.916721,533,3594,4127
652,14-10-2019,4,1,10,0,1,1,1,21.388347,25.4102,64.0417,18.667004,2080,4559,6639
200,19-07-2018,3,0,7,0,4,1,1,31.843347,37.37395,65.0417,8.7502,752,3789,4541
539,23-06-2019,3,1,6,0,0,0,1,29.998347,32.6396,53.4583,12.041307,2657,4801,7458
330,26-11-2018,4,0,11,0,1,1,1,15.409153,19.25435,68.1667,4.5841936,1249,1819,3068
4,04-01-2018,1,0,1,0,4,1,1,8.2,10.6061,59.0435,10.739832,108,1454,1562
422,26-02-2019,1,1,2,0,2,1,1,11.445847,13.4154,41.0,13.750343,515,2874,3389
277,04-10-2018,4,0,10,0,4,1,1,19.850847,23.6429,71.0,13.792218,486,3970,4456
267,24-09-2018,4,0,9,0,1,1,2,24.873347,28.2206,86.25,5.2516811,1776,3647,5423
481,26-04-2019,2,1,4,0,5,1,2,20.431653,24.17915,75.6667,11.833875,475,4551,5026
230,18-08-2018,3,0,8,0,6,0,1,29.178347,33.1129,65.4583,15.624936,639,3166,3805
554,08-07-2019,3,1,7,0,1,1,1,33.7225,39.5198,57.375,8.417143,1203,3469,4672
526,10-06-2019,2,1,6,0,1,1,1,29.793347,33.17585,53.8333,8.959307,2224,4374,6598
529,13-06-2019,2,1,6,0,4,1,1,26.889153,30.55585,58.2083,22.999693,1173,6248,7421
702,03-12-2019,4,1,12,0,2,1,1,18.5525,22.7898,76.75,5.5422936,555,5679,6234
614,06-09-2019,3,1,9,0,5,1,2,28.563347,32.76645,81.0417,9.542207,611,5592,6203
392,27-01-2019,1,1,1,0,0,0,2,17.425,20.76915,74.125,22.958689,269,3187,3456
117,27-04-2018,2,0,4,0,5,1,2,25.42,28.7571,83.5417,20.9174,547,3325,3872
